[2024-05-25 13:38:31 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 16:50:01 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:04 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:06 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:09 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:11 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:14 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:16 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:19 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:21 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:24 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:26 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:29 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:31 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:34 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:36 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:39 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:41 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:44 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:46 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:50:49 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 16:50:51 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 16:51:42 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:51:43 joining] :msg type : END , from : 192.168.251.107 , view : 2 , body : 192.168.251.150;192.168.251.107;192.168.251.150;
[2024-05-25 16:51:42 joining] :msg type : END , from : 192.168.251.150 , view : 2 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 16:51:47 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 3 , body : 
[2024-05-25 16:52:25 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 16:52:25 joining] :msg type : END , from : 192.168.251.107 , view : 1 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 16:52:25 joining] :msg type : END , from : 192.168.251.150 , view : 1 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 16:52:29 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:01:38 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 17:01:39 joining] :msg type : END , from : 192.168.251.107 , view : 1 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 17:01:39 joining] :msg type : END , from : 192.168.251.150 , view : 1 , body : 192.168.251.107;192.168.251.150;
[2024-05-25 17:01:42 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:01:43 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:01:47 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:01:48 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:01:52 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:01:53 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:01:57 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:01:38 joined] :msg type : MSG , from : 192.168.251.150 , view : 2 , body : Sencond Message
[2024-05-25 17:01:58 joined] :msg type : ACK , from : 192.168.251.150 , view : 2 , body : 192.168.251.150:1716649298900
[2024-05-25 17:01:58 joined] :msg type : MSG , from : 192.168.251.150 , view : 2 , body : First Message
[2024-05-25 17:01:58 joined] :msg type : ACK , from : 192.168.251.150 , view : 2 , body : 192.168.251.150:1716649318915
[2024-05-25 17:01:59 joined] :msg type : ACK , from : 192.168.251.107 , view : 2 , body : 192.168.251.150:1716649298900
[2024-05-25 17:01:58 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:02 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:03 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:07 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:08 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:12 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:13 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:17 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:18 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:22 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:23 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:27 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:28 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:32 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:34 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:37 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:02:39 joined] :msg type : ALIVE , from : 192.168.251.150 , view : 2 , body : 
[2024-05-25 17:02:42 joined] :msg type : ALIVE , from : 192.168.251.107 , view : 2 , body : 
[2024-05-25 17:22:40 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:22:45 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:22:45 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:22:50 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:22:50 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:22:55 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:22:55 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:23:00 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:24:02 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:07 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:07 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:12 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:12 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:17 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:17 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:22 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:24:27 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:24:32 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:24:36 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:41 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:41 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:46 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:46 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:51 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:51 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:24:56 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:01 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:07 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:12 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:17 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:22 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:27 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:32 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:37 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:42 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:47 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:52 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:25:57 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:02 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:07 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:07 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:12 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:12 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:17 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:17 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 17:26:22 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:27 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:32 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:37 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:42 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:47 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:52 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:26:57 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:02 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:07 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:12 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:17 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:22 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:27 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:32 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:37 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:42 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:47 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:52 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:27:57 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:28:02 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:28:07 joined] :msg type : JOIN , from : 192.168.207.107 , view : 0 , body : 
[2024-05-25 17:28:06 change] :msg type : END , from : 192.168.251.183 , view : 1 , body : 192.168.251.183;192.168.207.107;
[2024-05-25 17:28:07 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:28:12 change] :msg type : ALIVE , from : 192.168.207.107 , view : 0 , body : 
[2024-05-25 17:28:12 change] :msg type : JOIN , from : 192.168.207.107 , view : 0 , body : 
[2024-05-25 17:28:12 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 17:28:17 change] :msg type : ALIVE , from : 192.168.207.107 , view : 0 , body : 
[2024-05-25 17:28:17 change] :msg type : JOIN , from : 192.168.207.107 , view : 0 , body : 
[2024-05-25 17:28:21 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:28:22 joining] :msg type : JOIN , from : 192.168.207.107 , view : 0 , body : 
[2024-05-25 17:28:25 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:28:25 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:28:30 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:28:30 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:28:35 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:28:41 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:28:46 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:28:51 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:29:24 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:29 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:29 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:34 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:34 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:39 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:39 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:29:44 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:30:38 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:43 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:43 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:48 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:48 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:53 joining] :msg type : ALIVE , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:53 joining] :msg type : JOIN , from : 192.168.207.183 , view : 0 , body : 
[2024-05-25 17:30:58 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:31:03 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
[2024-05-25 17:31:08 joined] :msg type : ALIVE , from : 192.168.207.183 , view : 1 , body : 
